Country Name,Literacy Rate,Government Expenditure on Education,Trained Teachers in Primary,Pupil-teacher Ratio Primary,Fertility Rate, GDP per capita,Gini Index,Research and Development Expenditure, School enrollment Primary
Afghanistan,..,3.373310089,..,47.98298,4.633,2058.400221,..,..,..
Albania,..,3.611730099,..,17.94478,1.638,12770.96429,33.1,..,95.53947
Algeria,..,6.505380154,..,24.22505,3.045,11737.40124,..,0.534319997,97.5883
American Samoa,..,..,..,..,..,..,..,..,..
Andorra,..,3.217089891,100,10.5,..,..,..,..,..
Angola,..,2.466878891,..,..,5.6,7310.896551,..,..,..
Antigua and Barbuda,..,2.448477507,55.15151978,12.05576,1.999,19840.28404,..,..,94.19429
Argentina,..,5.454319954,..,..,2.275,23597.11775,41.1,0.556309998,99.184
Armenia,99.73606873,2.707590103,..,..,1.75,12115.13929,33.6,0.227880001,91.94625
Aruba,..,..,..,..,1.886,38893.96056,..,..,..
Australia,..,5.136809826,..,..,1.741,48398.5497,..,1.879259944,96.38096
Austria,..,5.371590137,..,10.01653,1.52,54172.98679,29.7,3.05656004,88.61718
Azerbaijan,99.79122925,2.473819971,98.03781891,15.458,1.75,14121.40694,..,0.18468,93.7475
"Bahamas, The",..,2.42276907,89.64630127,..,1.762,35911.65435,..,..,..
Bahrain,..,2.324520111,83.74411011,12.15924,2.01,47709.77802,..,..,97.27864
Bangladesh,72.89296722,..,50.4312706,30.05456,2.062,4894.563365,..,..,..
Barbados,..,4.366380215,79.80635834,14.09682,1.615,15800.42431,..,..,94.99257
Belarus,..,4.794990063,99.64884186,18.80255,1.541,18356.10077,25.4,0.584110022,95.61727
Belgium,..,6.425340176,..,11.27695,1.65,50442.27054,27.4,2.66666007,98.76482
Belize,..,7.45028019,75.00737762,19.58631,2.346,7140.905119,..,..,96.18248
Benin,..,3.535589933,68.26634979,43.56977,4.906,3044.517156,..,..,97.03352
Bermuda,..,1.324959993,..,..,1.4,81834.95587,..,..,..
Bhutan,66.5611496,7.225739956,100,34.56294,1.994,11142.47467,37.4,..,87.42576
Bolivia,..,8.659999847,87.79960632,17.58897,2.777,8423.69756,44.6,..,90.87779
Bosnia and Herzegovina,..,..,..,17.19917,1.276,13753.83794,..,0.200479999,..
Botswana,..,7.299754143,99.84967041,..,2.91,15948.03202,..,..,..
Brazil,93.07582092,6.32047987,..,20.22308,1.739,14524.61354,53.3,1.117499948,96.29925
British Virgin Islands,..,2.462599993,80.13937378,11.61672,..,..,..,..,..
Brunei Darussalam,..,..,85.34703827,10.18252,1.881,60994.53156,..,..,93.53285
Bulgaria,..,4.075270176,..,15.20744,1.56,21469.94544,40.4,0.739950001,86.4454
Burkina Faso,..,5.628469944,85.83756256,40.68126,5.271,2044.386987,..,0.613610029,76.42387
Burundi,68.37532806,4.762020111,100,49.61434,5.502,773.5728587,..,..,94.87551
Cabo Verde,..,5.181749821,93.43501282,21.08156,2.309,6643.179892,..,..,92.86236
Cambodia,..,3.200000048,100,41.66267,2.53,3928.373934,..,..,90.54321
Cameroon,..,3.059629917,81.23979187,44.61321,4.639,3665.117851,..,..,92.87395
Canada,..,..,..,..,1.54,48317.17458,33.3,1.685799956,99.8825
Cayman Islands,..,..,..,..,..,69753.08956,..,..,..
Central African Republic,..,1.753650188,..,..,4.796,912.8030453,..,..,..
Chad,..,2.454819918,..,..,5.846,1587.032328,..,..,..
Channel Islands,..,..,..,..,1.516,..,..,..,..
Chile,96.40228271,5.419660091,..,17.79358,1.678,24411.54477,44.4,0.355930001,94.74067
China,..,3.667449951,..,16.59383,1.683,14243.53261,39.1,2.116029978,..
Colombia,..,4.535510063,94.72187805,23.60132,1.825,14171.3205,49.7,0.26109001,93.13491
Comoros,..,..,71.90551758,18.90138,4.275,3032.262133,..,..,79.83747
"Congo, Dem. Rep.",..,1.454949975,..,..,6.017,1059.810762,..,..,..
"Congo, Rep.",..,4.450520039,..,..,4.482,4234.659883,..,..,..
Costa Rica,..,7.069809914,93.52646637,11.62825,1.772,20347.03477,48.3,0.425870001,96.34224
Cote d'Ivoire,..,3.80347991,100,42.42645,4.704,4830.750515,..,..,85.57232
Croatia,..,3.854759932,..,..,1.42,27154.08469,30.4,0.848919988,88.0407
Cuba,..,..,100,8.82731,1.637,..,..,0.430660009,95.57823
Curacao,..,..,..,..,1.5,24599.93783,..,..,..
Cyprus,..,5.718530178,..,12.03922,1.337,38287.96875,31.4,0.544390023,97.49342
Czech Republic,..,3.806159973,..,..,1.69,38824.88792,24.9,1.768550038,89.3503
Denmark,..,7.752439976,..,..,1.75,55356.68078,28.7,2.931240082,98.53748
Djibouti,..,3.748559952,..,30.42105,2.785,4904.976636,41.6,..,59.96016
Dominica,..,4.766749859,..,..,..,11341.33259,..,..,..
Dominican Republic,..,3.920269966,94.86077118,18.91694,2.367,16735.36442,42.2,..,92.87434
Ecuador,92.82978821,4.614260197,..,24.48003,2.451,11617.91222,44.7,..,91.64154
"Egypt, Arab Rep.",71.16825104,..,..,23.77693,3.37,11014.48648,31.5,0.679409981,97.02531
El Salvador,88.48271179,3.725229979,95.41835022,28.27102,2.059,8454.052167,38,0.180779994,80.23355
Equatorial Guinea,..,..,..,..,4.599,22550.95816,..,..,..
Eritrea,..,..,..,39.24553,4.112,..,..,..,51.75237
Estonia,..,4.961319923,..,11.31153,1.59,33821.93291,30.4,1.276849985,93.68129
Eswatini,..,6.138090134,87.7128067,26.59621,3.018,8408.035915,..,..,82.52357
Ethiopia,51.7711792,5.64951992,..,..,4.35,2021.562908,..,0.274370015,..
Faroe Islands,..,8.044589996,..,..,2.5,..,..,..,..
Fiji,..,4.651189804,..,..,2.788,13429.30062,..,..,..
Finland,..,6.363110065,..,13.66688,1.49,47570.13358,27.4,2.727869987,98.62944
France,..,5.451600075,..,..,1.89,44577.06457,31.6,2.198879957,98.92727
